City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
cape town,ZA,2021-10-04 16:08:50,-33.9258,18.4232,8,59,59.54000000000002,1.79
new norfolk,AU,2021-10-04 16:08:51,-42.7826,147.0587,99,74,49.766000000000005,1.14
vero beach,US,2021-10-04 16:08:51,27.6386,-80.3973,1,56,88.32200000000003,0.89
carnarvon,AU,2021-10-04 16:08:52,-24.8667,113.6333,75,63,62.94199999999999,6.17
vaini,TO,2021-10-04 16:08:53,-21.2,-175.2,75,94,77.43200000000002,5.66
ust-koksa,RU,2021-10-04 16:08:53,50.2696,85.6108,97,87,31.819999999999958,1.34
bratsk,RU,2021-10-04 16:08:54,56.1325,101.6142,85,91,29.156000000000027,1.22
salym,RU,2021-10-04 16:08:54,60.0625,71.4789,100,86,30.46999999999996,1.62
warqla,,,,,,,,
ancud,CL,2021-10-04 16:08:54,-41.8697,-73.8203,100,70,51.601999999999975,3.47
rio grande,BR,2021-10-04 16:08:55,-32.035,-52.0986,5,65,62.977999999999966,4.91
sao filipe,CV,2021-10-04 16:08:56,14.8961,-24.4956,22,81,80.816,2.4
lorengau,PG,2021-10-04 16:08:56,-2.0226,147.2712,100,78,80.88800000000005,1.62
hithadhoo,MV,2021-10-04 16:08:57,-0.6,73.0833,10,75,83.78599999999997,8.9
bethel,US,2021-10-04 16:08:57,41.3712,-73.414,90,92,65.19200000000001,0.89
behbahan,IR,2021-10-04 16:08:57,30.5959,50.2417,0,54,79.98800000000006,0.26
venkatagiri,IN,2021-10-04 16:08:58,13.9667,79.5833,100,83,80.56400000000004,0.46
pijijiapan,MX,2021-10-04 16:08:58,15.7011,-93.23,21,71,87.29600000000005,2.53
paamiut,GL,2021-10-04 16:08:58,61.994,-49.6678,19,71,37.45399999999995,5.19
umzimvubu,,,,,,,,
maragogi,BR,2021-10-04 16:08:59,-9.0122,-35.2225,2,78,76.24399999999997,3.5
port elizabeth,ZA,2021-10-04 16:09:00,-33.918,25.5701,17,80,49.36999999999996,3.06
provideniya,RU,2021-10-04 16:09:00,64.3833,-173.3,90,81,39.57799999999996,6
zhanaozen,KZ,2021-10-04 16:09:01,43.3,52.8,100,74,50.935999999999964,9.13
rabat,MA,2021-10-04 16:09:01,33.9911,-6.8401,9,77,64.41799999999998,2.06
dhidhdhoo,MV,2021-10-04 16:09:02,6.8833,73.1,100,81,81.24800000000002,8.79
leningradskiy,RU,2021-10-04 16:09:02,69.3833,178.4167,100,93,21.685999999999964,0.19
vardo,NO,2021-10-04 16:09:02,70.3705,31.1107,100,83,54.067999999999984,10.84
gouyave,GD,2021-10-04 16:09:03,12.1646,-61.7296,20,70,85.24399999999997,10.29
amderma,,,,,,,,
cockburn town,TC,2021-10-04 16:04:57,21.4612,-71.1419,75,74,84.434,6.17
georgetown,MY,2021-10-04 16:09:04,5.4112,100.3354,40,93,78.16999999999996,0.89
gurskoye,,,,,,,,
egvekinot,RU,2021-10-04 16:09:05,66.3167,-179.1667,100,96,28.238000000000046,4.45
gazanjyk,TM,2021-10-04 16:09:05,39.2446,55.5154,90,19,65.174,6.56
ulladulla,AU,2021-10-04 16:09:06,-35.35,150.4667,80,59,59.14399999999998,5.58
mar del plata,AR,2021-10-04 16:09:06,-38.0023,-57.5575,20,62,63.266000000000005,3.58
antigonish,CA,2021-10-04 16:09:07,45.6169,-61.9986,5,73,54.08599999999997,1.79
gubkinskiy,RU,2021-10-04 16:09:09,64.434,76.5026,100,95,30.325999999999986,6.94
saskylakh,RU,2021-10-04 16:09:10,71.9167,114.0833,100,91,28.633999999999993,7.76
tondano,ID,2021-10-04 16:09:10,1.3038,124.9112,100,80,67.47799999999997,0.86
tshane,BW,2021-10-04 16:09:10,-24.0196,21.8684,0,14,62.76199999999996,4.71
hami,CN,2021-10-04 16:09:11,42.8,93.45,100,19,55.59800000000003,2.79
emmaus,US,2021-10-04 16:09:12,40.5395,-75.4968,40,77,80.43800000000005,2.57
camopi,GF,2021-10-04 16:09:12,3.1655,-52.3158,99,57,84.45199999999997,3.03
kodiak,US,2021-10-04 16:09:13,57.79,-152.4072,1,57,46.18399999999999,2.57
mushie,CD,2021-10-04 16:09:13,-3.0167,16.9,86,81,75.93800000000005,1.19
port-gentil,GA,2021-10-04 16:09:14,-0.7193,8.7815,100,86,78.44000000000003,5.04
indio,US,2021-10-04 16:08:46,33.7206,-116.2156,1,13,100.4,3.13
kruisfontein,ZA,2021-10-04 16:09:14,-34.0033,24.7314,2,91,47.15600000000003,1.66
meulaboh,ID,2021-10-04 16:09:14,4.1363,96.1285,100,86,76.02799999999996,1.39
barra patuca,HN,2021-10-04 16:09:15,15.8,-84.2833,65,69,84.41600000000001,3.27
pevek,RU,2021-10-04 16:09:16,69.7008,170.3133,100,85,28.364000000000033,6.05
illoqqortoormiut,,,,,,,,
katherine,AU,2021-10-04 16:09:16,-14.4667,132.2667,75,65,84.79399999999998,4.63
taguatinga,BR,2021-10-04 16:09:17,-12.3857,-46.5711,66,21,95.54000000000002,1.58
jamestown,US,2021-10-04 16:08:44,42.097,-79.2353,75,88,69.70999999999998,4.12
khatanga,RU,2021-10-04 16:09:17,71.9667,102.5,100,96,29.083999999999993,7.99
taolanaro,,,,,,,,
port hedland,AU,2021-10-04 16:09:18,-20.3167,118.5667,0,100,62.924000000000014,2.57
nuevitas,CU,2021-10-04 16:09:18,21.5453,-77.2644,7,75,87.51199999999996,3.55
ardistan,,,,,,,,
leua,SK,2021-10-04 16:09:19,48.2156,18.6071,100,48,65.76799999999999,4.37
maniitsoq,GL,2021-10-04 16:09:19,65.4167,-52.9,22,57,37.75999999999998,2.66
yulara,AU,2021-10-04 16:09:20,-25.2406,130.9889,0,40,55.54399999999997,5.08
cherepanovo,RU,2021-10-04 16:09:20,54.2222,83.381,100,99,34.23200000000001,5.19
sioux lookout,CA,2021-10-04 16:09:21,50.1001,-91.917,22,42,71.16799999999998,1.67
port hardy,CA,2021-10-04 16:09:21,50.6996,-127.4199,100,72,50.0,1.8
puerto madero,MX,2021-10-04 16:09:21,14.7208,-92.4215,75,69,77.46799999999999,3.6
neiafu,TO,2021-10-04 16:09:22,-18.65,-173.9833,75,83,79.75399999999996,3.09
kuche,,,,,,,,
solnechnyy,RU,2021-10-04 16:09:22,50.7214,136.6319,2,85,32.88200000000002,0.78
rockhampton,AU,2021-10-04 16:09:22,-23.3833,150.5,5,78,71.76199999999996,1.54
talnakh,RU,2021-10-04 16:09:23,69.4865,88.3972,100,97,28.75999999999998,4.7
brae,GB,2021-10-04 16:09:23,60.3964,-1.353,22,87,51.98000000000005,4.59
mishelevka,RU,2021-10-04 16:09:24,52.8575,103.1719,10,89,30.361999999999956,1.57
una,IN,2021-10-04 16:09:24,20.8167,71.0333,63,88,78.63800000000005,3.19
bilma,NE,2021-10-04 16:09:25,18.6853,12.9164,0,17,87.60199999999998,4.01
mandurah,AU,2021-10-04 16:06:11,-32.55,115.7,100,73,53.492,5.79
independence,US,2021-10-04 16:00:18,39.0911,-94.4155,0,37,82.38200000000002,0.89
rock sound,BS,2021-10-04 16:09:25,24.9,-76.2,38,70,82.66999999999996,5.11
bowen,AU,2021-10-04 16:09:26,-20.0167,148.2333,27,91,73.88599999999997,1.3
cherskiy,RU,2021-10-04 16:09:26,68.75,161.3,95,99,14.072000000000035,3.08
hermanus,ZA,2021-10-04 16:09:26,-34.4187,19.2345,4,81,55.07599999999999,8.68
roshchino,RU,2021-10-04 16:09:27,60.2519,29.6085,2,81,45.5,5.49
novokayakent,RU,2021-10-04 16:09:28,42.3937,47.9861,100,79,53.924000000000014,1.85
chokurdakh,RU,2021-10-04 16:09:28,70.6333,147.9167,99,95,20.03000000000004,4.93
lagoa,PT,2021-10-04 16:09:28,39.05,-27.9833,100,85,71.708,2.59
san ignacio,BZ,2021-10-04 16:09:29,17.1561,-89.0714,88,69,83.93000000000004,2.49
qaanaaq,GL,2021-10-04 16:09:29,77.484,-69.3632,100,73,26.311999999999955,2.67
hobyo,SO,2021-10-04 16:09:30,5.3505,48.5268,94,87,78.51199999999996,9.05
kjollefjord,NO,2021-10-04 16:09:30,70.9457,27.3465,100,82,53.653999999999954,9.23
moranbah,AU,2021-10-04 16:09:31,-22.0016,148.0466,9,30,75.46999999999997,5.85
kudahuvadhoo,MV,2021-10-04 16:09:31,2.6708,72.8944,100,77,83.01199999999996,8.97
srednekolymsk,RU,2021-10-04 16:09:32,67.45,153.6833,95,95,19.633999999999993,2.73
olafsvik,IS,2021-10-04 16:09:32,64.8945,-23.7142,58,69,39.91999999999996,8.52
bahia honda,CU,2021-10-04 16:09:33,22.9036,-83.1592,30,74,83.24600000000005,4.75
mehamn,NO,2021-10-04 16:09:33,71.0357,27.8492,99,80,53.780000000000044,10
norman wells,CA,2021-10-04 16:09:33,65.282,-126.8329,100,92,33.02599999999999,6.49
ponta do sol,PT,2021-10-04 16:09:34,32.6667,-17.1,41,65,70.7,2.1
vao,NC,2021-10-04 16:09:34,-22.6667,167.4833,0,87,70.91600000000001,5.88
marquette,US,2021-10-04 16:09:34,46.5333,-87.6335,100,94,60.09800000000003,2.54
alta floresta,BR,2021-10-04 16:09:35,-9.8756,-56.0861,95,81,75.07400000000001,1.69
salamiyah,SY,2021-10-04 16:09:35,35.0113,37.0532,0,47,64.13000000000005,2.78
meiktila,MM,2021-10-04 16:09:36,20.8667,95.8667,19,90,75.092,2.1
cezieni,RO,2021-10-04 16:09:36,44.1833,24.2667,2,53,57.29000000000002,3.27
chapeco,BR,2021-10-04 16:09:37,-27.0964,-52.6183,61,86,59.88200000000002,0.59
kenmare,IE,2021-10-04 16:09:37,51.8833,-9.5833,39,95,46.219999999999956,2.3
ostrovnoy,RU,2021-10-04 16:09:38,68.0531,39.5131,80,80,46.16600000000001,14.55
sobolevo,RU,2021-10-04 16:09:38,54.4299,31.8996,0,87,42.98000000000004,4.71
catamayo,EC,2021-10-04 16:09:38,-3.9833,-79.35,94,76,72.76999999999995,1.13
tumannyy,,,,,,,,
dali,CN,2021-10-04 16:09:39,25.7,100.1833,94,91,61.88000000000004,1.3
ismailia,EG,2021-10-04 16:09:39,30.6043,32.2723,0,74,69.83599999999997,3.69
el paso,US,2021-10-04 16:04:58,31.8001,-106.2005,20,28,85.35199999999998,0
quatre cocos,MU,2021-10-04 16:09:41,-20.2078,57.7625,1,81,68.35999999999999,2.94
pell city,US,2021-10-04 16:04:57,33.5862,-86.2861,20,77,82.85,3.09
palmira,CO,2021-10-04 16:09:41,3.5394,-76.3036,40,65,80.34800000000003,5.14
semnan,IR,2021-10-04 16:09:41,35.5729,53.3971,0,35,66.86600000000001,2.3
nizhneyansk,,,,,,,,
galveston,US,2021-10-04 16:05:48,29.3669,-94.9669,1,49,89.97799999999997,1.79
buraydah,SA,2021-10-04 16:09:42,26.326,43.975,6,13,81.44600000000005,3.73
tambacounda,SN,2021-10-04 16:09:42,13.7539,-13.7586,99,66,85.226,2.7
verkhniy baskunchak,RU,2021-10-04 16:09:43,48.2256,46.7217,100,51,55.07599999999999,6.21
stanghelle,NO,2021-10-04 16:09:44,60.5528,5.7357,100,95,52.25,1.83
kendal,GB,2021-10-04 16:09:44,54.3268,-2.7476,64,94,51.998000000000026,1.74
celestun,MX,2021-10-04 16:09:45,20.8667,-90.4,58,65,85.29800000000003,6.02
kaiserslautern,DE,2021-10-04 16:09:45,49.45,7.75,100,91,54.64399999999998,0.63
imbituba,BR,2021-10-04 16:09:46,-28.24,-48.6703,100,83,64.09399999999997,4.19
perote,MX,2021-10-04 16:09:46,19.5667,-97.2333,86,82,59.233999999999995,3.76
upernavik,GL,2021-10-04 16:09:46,72.7868,-56.1549,91,67,29.858000000000004,2.32
grand river south east,,,,,,,,
mecca,SA,2021-10-04 16:09:47,21.4267,39.8261,2,51,84.05600000000004,1.42
crab hill,,,,,,,,
alice springs,AU,2021-10-04 16:09:47,-23.7,133.8833,1,31,58.819999999999965,4.63
dondo,MZ,2021-10-04 16:09:48,-19.6094,34.7431,3,93,72.59000000000003,1.59
mashivka,UA,2021-10-04 16:09:48,49.4431,34.8669,84,62,49.693999999999974,3.67
ust-kuyga,RU,2021-10-04 16:09:49,70.0167,135.6,100,82,22.064000000000032,3.36
saleaula,,,,,,,,
rawannawi,,,,,,,,
sur,OM,2021-10-04 16:09:49,22.5667,59.5289,6,72,83.174,4.67
twin falls,US,2021-10-04 16:09:50,42.3505,-114.6445,1,19,80.76199999999996,4.12
padang,ID,2021-10-04 16:09:50,-0.9492,100.3543,100,86,77.41400000000004,1.29
saint george,US,2021-10-04 16:09:50,37.1041,-113.5841,1,21,88.7,0.45
baherden,TM,2021-10-04 16:09:51,38.4362,57.4316,47,26,61.95199999999998,2.31
bengkulu,ID,2021-10-04 16:09:52,-3.8004,102.2655,100,93,75.52400000000002,2.17
simoes,BR,2021-10-04 16:09:52,-7.5989,-40.8178,7,24,88.98800000000006,4.43
vila velha,BR,2021-10-04 16:09:53,-20.3297,-40.2925,40,78,79.21400000000003,7.72
omsukchan,RU,2021-10-04 16:09:53,62.5333,155.8,100,91,17.33000000000004,3.9
tiksi,RU,2021-10-04 16:09:53,71.6872,128.8694,100,79,25.591999999999995,11.95
yanam,IN,2021-10-04 16:09:54,16.7333,82.2167,99,90,77.70199999999997,1.33
araouane,ML,2021-10-04 16:09:54,18.9048,-3.5265,24,10,93.46999999999997,2.8
gboko,NG,2021-10-04 16:09:55,7.3179,8.9951,94,74,79.88000000000005,1.86
vestmanna,FO,2021-10-04 16:09:55,62.1564,-7.1664,90,100,43.98800000000004,10.8
baie-comeau,CA,2021-10-04 16:09:56,49.2168,-68.1489,0,69,54.37400000000001,1.93
boende,CD,2021-10-04 16:09:56,-0.2167,20.8667,40,85,74.04800000000003,1.47
bambous virieux,MU,2021-10-04 16:09:57,-20.3428,57.7575,3,81,68.48599999999996,3.04
carutapera,BR,2021-10-04 16:09:57,-1.195,-46.02,68,76,81.06799999999998,4
erenhot,CN,2021-10-04 16:09:58,43.6475,111.9767,98,48,45.59000000000002,2.49
kalmunai,LK,2021-10-04 16:09:58,7.4167,81.8167,100,89,77.43200000000002,2.74
berlevag,NO,2021-10-04 16:09:59,70.8578,29.0864,75,71,53.81600000000001,8.23
ribeira grande,PT,2021-10-04 16:09:59,38.5167,-28.7,100,83,72.78800000000004,5.48
zwedru,LR,2021-10-04 16:10:00,6.0667,-8.1281,49,97,72.842,1.22
perelyub,RU,2021-10-04 16:10:00,51.8667,50.3667,47,64,40.26199999999996,3.96
sal rei,CV,2021-10-04 16:10:01,16.1833,-22.9167,4,77,81.42799999999997,5.58
solovetskiy,,,,,,,,
sinnamary,GF,2021-10-04 16:10:01,5.3833,-52.95,44,68,82.99399999999997,5.46
luganville,VU,2021-10-04 16:10:04,-15.5333,167.1667,47,79,81.35600000000002,1.08
attawapiskat,,,,,,,,
sharjah,AE,2021-10-04 16:10:04,25.3573,55.4033,0,68,89.85199999999998,1.54
nacala,MZ,2021-10-04 16:10:05,-14.5428,40.6728,5,87,73.99399999999997,2.32
isla vista,US,2021-10-04 16:10:06,34.4133,-119.861,20,36,92.60600000000002,2.57
saint-philippe,RE,2021-10-04 16:10:06,-21.3585,55.7679,57,82,71.45600000000003,3
merauke,ID,2021-10-04 16:10:06,-8.4667,140.3333,27,89,76.45999999999998,3.59
chama,CH,2021-10-04 16:10:07,47.1821,8.4636,75,90,57.88399999999999,1.54
esperance,AU,2021-10-04 16:10:08,-33.8667,121.9,55,81,53.88800000000005,6.25
flinders,AU,2021-10-04 16:08:36,-34.5833,150.8552,18,64,60.08000000000004,6.92
mahebourg,MU,2021-10-04 16:10:08,-20.4081,57.7,3,81,68.52200000000005,3.09
kristianstad,SE,2021-10-04 16:05:55,56.0313,14.1524,85,100,52.627999999999965,2.58
ondorhaan,,,,,,,,
lethem,GY,2021-10-04 16:10:09,3.3803,-59.7968,92,56,87.85399999999996,2.7
emerald,AU,2021-10-04 16:10:09,-23.5333,148.1667,0,32,69.61999999999996,5.21
bam,IR,2021-10-04 16:10:09,29.106,58.357,0,19,75.21799999999999,1.8
abu samrah,SY,2021-10-04 16:10:10,35.3029,37.1841,0,42,65.858,2.98
jhelum,PK,2021-10-04 16:10:10,32.9331,73.7264,0,63,80.15,0.57
qibili,,,,,,,,
westport,US,2021-10-04 16:07:31,41.1415,-73.3579,90,95,69.08000000000004,0.45
aflu,,,,,,,,
ust-ishim,RU,2021-10-04 16:10:11,57.6935,71.1665,95,94,28.66999999999996,2.59
bubaque,GW,2021-10-04 16:10:12,11.2833,-15.8333,38,78,83.30000000000001,4
sabha,LY,2021-10-04 16:10:12,27.0377,14.4283,0,27,80.31199999999995,3.5
karaul,,,,,,,,
muros,ES,2021-10-04 16:10:13,42.7762,-9.0603,100,94,62.11400000000003,7.93
barentsburg,,,,,,,,
severo-kurilsk,RU,2021-10-04 16:10:14,50.6789,156.125,17,81,45.661999999999956,6.06
tuatapere,NZ,2021-10-04 16:10:14,-46.1333,167.6833,81,77,56.08399999999999,1.42
clyde river,CA,2021-10-04 16:08:22,70.4692,-68.5914,99,81,36.62599999999999,2.72
orichi,RU,2021-10-04 16:10:15,58.4036,49.0572,3,76,33.36799999999998,1.62
helong,CN,2021-10-04 16:10:15,42.5397,128.9972,100,82,45.535999999999966,0.99
le port,RE,2021-10-04 16:10:15,-20.9373,55.2919,18,80,71.86999999999996,2.6
sola,VU,2021-10-04 16:10:16,-13.8833,167.55,84,78,80.22200000000004,3.02
waingapu,ID,2021-10-04 16:08:02,-9.6567,120.2641,29,75,75.16400000000004,2.72
longyearbyen,SJ,2021-10-04 16:10:17,78.2186,15.6401,75,81,37.508,5.66
bathsheba,BB,2021-10-04 16:10:17,13.2167,-59.5167,40,62,86.88200000000002,9.26
belaya gora,RU,2021-10-04 16:10:17,68.5333,146.4167,51,86,17.78000000000004,2.48
kailua,US,2021-10-04 16:08:09,21.4022,-157.7394,40,65,88.05199999999998,6.69
sorata,BO,2021-10-04 16:10:18,-15.7667,-68.6333,55,72,52.069999999999965,4.46
baracoa,CU,2021-10-04 16:10:19,20.3467,-74.4958,100,65,84.308,3.71
sumbe,AO,2021-10-04 16:10:19,-11.2061,13.8437,10,83,72.19399999999997,2.9
east london,ZA,2021-10-04 16:10:20,-33.0153,27.9116,83,81,57.16400000000003,1.86
avarua,CK,2021-10-04 16:10:20,-21.2078,-159.775,20,69,79.12400000000002,7.72
bima,ID,2021-10-04 16:10:21,-8.4667,118.7167,100,83,74.78599999999997,2.07
kourou,GF,2021-10-04 16:10:21,5.1552,-52.6478,34,69,86.32400000000001,4.33
petrovsk,RU,2021-10-04 16:10:22,52.3064,45.3917,99,60,46.561999999999955,5.04
khani,GE,2021-10-04 16:10:22,41.9563,42.9566,37,94,49.83800000000005,1.34
college,US,2021-10-04 16:10:23,64.8569,-147.8028,90,93,33.85399999999995,1.54
narsaq,GL,2021-10-04 16:10:23,60.9167,-46.05,6,56,37.88599999999997,1.36
kieta,PG,2021-10-04 16:10:24,-6.2167,155.6333,100,81,81.06799999999998,1.63
kitimat,CA,2021-10-04 16:10:24,54.0524,-128.6534,99,55,49.17200000000004,1.43
riohacha,CO,2021-10-04 16:05:54,11.5444,-72.9072,100,60,89.6,4.55
chabua,IN,2021-10-04 16:10:25,27.4825,95.1736,76,94,73.38200000000002,0.85
iranshahr,IR,2021-10-04 16:07:19,27.2025,60.6848,90,14,81.842,1.72
mango,US,2021-10-04 16:10:26,27.9797,-82.3065,40,56,90.44600000000005,0
montague,US,2021-10-04 16:10:26,42.5356,-72.5351,100,85,58.60399999999996,2.33
port blair,IN,2021-10-04 16:10:26,11.6667,92.75,71,82,80.54600000000005,4.28
chalon-sur-saone,FR,2021-10-04 16:10:27,46.7833,4.85,100,91,55.25600000000003,1.65
vaitape,PF,2021-10-04 16:10:28,-16.5167,-151.75,10,71,78.69200000000001,7.17
fortuna,US,2021-10-04 16:10:28,40.5982,-124.1573,20,94,85.45999999999998,7.2
sao felix do xingu,BR,2021-10-04 16:10:29,-6.6447,-51.995,95,63,82.75999999999999,0.68
hasaki,JP,2021-10-04 16:10:29,35.7333,140.8333,4,75,66.86600000000001,5.6
bayburt,TR,2021-10-04 16:10:30,40.2589,40.2278,100,79,44.81600000000001,0.94
samusu,,,,,,,,
mukhanovo,,,,,,,,
point fortin,TT,2021-10-04 16:07:54,10.1833,-61.6833,91,80,86.28800000000004,7.23
ambatofinandrahana,MG,2021-10-04 16:07:22,-20.55,46.8,21,79,61.23200000000001,1.29
yomou,GN,2021-10-04 16:10:31,7.5603,-9.2653,97,96,71.88800000000005,0.87
malwan,,,,,,,,
coquimbo,CL,2021-10-04 16:10:31,-29.9533,-71.3436,20,72,60.8,6.69
yarmouth,US,2021-10-04 16:10:32,41.7057,-70.2286,90,96,60.42200000000004,2.68
miles city,US,2021-10-04 16:06:04,46.4083,-105.8406,1,9,90.842,5.14
